"tick","run","Human Count","Zombie Count"
1.0,1,198,7
2.0,1,197,8
3.0,1,197,8
4.0,1,197,8
5.0,1,196,9
6.0,1,196,9
7.0,1,195,10
8.0,1,194,11
9.0,1,193,12
10.0,1,193,12
11.0,1,193,12
12.0,1,192,13
13.0,1,191,14
14.0,1,190,15
15.0,1,189,16
16.0,1,189,16
17.0,1,189,16
18.0,1,189,16
19.0,1,189,16
20.0,1,188,17
21.0,1,188,17
22.0,1,188,17
23.0,1,187,18
24.0,1,187,18
25.0,1,187,18
26.0,1,187,18
27.0,1,187,18
28.0,1,187,18
29.0,1,186,19
30.0,1,185,20
31.0,1,184,21
32.0,1,184,21
33.0,1,184,21
34.0,1,184,21
35.0,1,184,21
36.0,1,183,22
37.0,1,183,22
38.0,1,183,22
39.0,1,183,22
40.0,1,182,23
41.0,1,182,23
42.0,1,182,23
43.0,1,181,24
44.0,1,180,25
45.0,1,180,25
46.0,1,180,25
47.0,1,180,25
48.0,1,180,25
49.0,1,180,25
50.0,1,180,25
51.0,1,179,26
52.0,1,179,26
53.0,1,178,27
54.0,1,177,28
55.0,1,177,28
56.0,1,176,29
57.0,1,176,29
58.0,1,176,29
59.0,1,175,30
60.0,1,175,30
61.0,1,175,30
62.0,1,175,30
63.0,1,174,31
64.0,1,174,31
65.0,1,174,31
66.0,1,173,32
67.0,1,172,33
68.0,1,171,34
69.0,1,171,34
70.0,1,169,36
71.0,1,169,36
72.0,1,167,38
73.0,1,166,39
74.0,1,165,40
75.0,1,164,41
76.0,1,163,42
77.0,1,162,43
78.0,1,161,44
79.0,1,160,45
80.0,1,160,45
81.0,1,159,46
82.0,1,157,48
83.0,1,156,49
84.0,1,154,51
85.0,1,152,53
86.0,1,151,54
87.0,1,150,55
88.0,1,148,57
89.0,1,146,59
90.0,1,146,59
91.0,1,144,61
92.0,1,143,62
93.0,1,139,66
94.0,1,135,70
95.0,1,135,70
96.0,1,133,72
97.0,1,130,75
98.0,1,129,76
99.0,1,127,78
100.0,1,127,78
101.0,1,127,78
102.0,1,124,81
103.0,1,123,82
104.0,1,118,87
105.0,1,116,89
106.0,1,114,91
107.0,1,114,91
108.0,1,113,92
109.0,1,112,93
110.0,1,109,96
111.0,1,108,97
112.0,1,104,101
113.0,1,102,103
114.0,1,98,107
115.0,1,94,111
116.0,1,92,113
117.0,1,91,114
118.0,1,90,115
119.0,1,89,116
120.0,1,87,118
121.0,1,85,120
122.0,1,81,124
123.0,1,80,125
124.0,1,79,126
125.0,1,79,126
126.0,1,76,129
127.0,1,76,129
128.0,1,76,129
129.0,1,76,129
130.0,1,74,131
131.0,1,71,134
132.0,1,71,134
133.0,1,70,135
134.0,1,68,137
135.0,1,68,137
136.0,1,66,139
137.0,1,66,139
138.0,1,65,140
139.0,1,64,141
140.0,1,63,142
141.0,1,62,143
142.0,1,60,145
143.0,1,60,145
144.0,1,58,147
145.0,1,53,152
146.0,1,51,154
147.0,1,47,158
148.0,1,44,161
149.0,1,43,162
150.0,1,42,163
151.0,1,40,165
152.0,1,39,166
153.0,1,39,166
154.0,1,39,166
155.0,1,38,167
156.0,1,36,169
157.0,1,30,175
158.0,1,30,175
159.0,1,29,176
160.0,1,26,179
161.0,1,25,180
162.0,1,24,181
163.0,1,23,182
164.0,1,21,184
165.0,1,20,185
166.0,1,20,185
167.0,1,20,185
168.0,1,20,185
169.0,1,19,186
170.0,1,19,186
171.0,1,19,186
