"tick","run","Human Count","Zombie Count"
1.0,1,199,6
2.0,1,199,6
3.0,1,198,7
4.0,1,198,7
5.0,1,196,9
6.0,1,196,9
7.0,1,196,9
8.0,1,196,9
9.0,1,196,9
10.0,1,196,9
11.0,1,195,10
12.0,1,194,11
13.0,1,193,12
14.0,1,193,12
15.0,1,192,13
16.0,1,192,13
17.0,1,192,13
18.0,1,192,13
19.0,1,192,13
20.0,1,192,13
21.0,1,192,13
22.0,1,192,13
23.0,1,192,13
24.0,1,192,13
25.0,1,192,13
26.0,1,192,13
27.0,1,192,13
28.0,1,192,13
29.0,1,192,13
30.0,1,192,13
31.0,1,191,14
32.0,1,190,15
33.0,1,189,16
34.0,1,189,16
35.0,1,189,16
36.0,1,189,16
37.0,1,188,17
38.0,1,187,18
39.0,1,187,18
40.0,1,187,18
41.0,1,187,18
42.0,1,186,19
43.0,1,186,19
44.0,1,186,19
45.0,1,186,19
46.0,1,186,19
47.0,1,185,20
48.0,1,185,20
49.0,1,185,20
50.0,1,184,21
51.0,1,184,21
52.0,1,183,22
53.0,1,182,23
54.0,1,182,23
55.0,1,180,25
56.0,1,180,25
57.0,1,179,26
58.0,1,177,28
59.0,1,177,28
60.0,1,176,29
61.0,1,174,31
62.0,1,172,33
63.0,1,170,35
64.0,1,167,38
65.0,1,166,39
66.0,1,166,39
67.0,1,166,39
68.0,1,165,40
69.0,1,165,40
70.0,1,164,41
71.0,1,164,41
72.0,1,163,42
73.0,1,162,43
74.0,1,162,43
75.0,1,162,43
76.0,1,160,45
77.0,1,160,45
78.0,1,159,46
79.0,1,159,46
80.0,1,158,47
81.0,1,158,47
82.0,1,158,47
83.0,1,158,47
84.0,1,157,48
85.0,1,156,49
86.0,1,156,49
87.0,1,154,51
88.0,1,153,52
89.0,1,152,53
90.0,1,152,53
91.0,1,152,53
92.0,1,150,55
93.0,1,147,58
94.0,1,146,59
95.0,1,144,61
96.0,1,140,65
97.0,1,140,65
98.0,1,137,68
99.0,1,136,69
100.0,1,134,71
101.0,1,134,71
102.0,1,133,72
103.0,1,129,76
104.0,1,126,79
105.0,1,126,79
106.0,1,126,79
107.0,1,124,81
108.0,1,121,84
109.0,1,121,84
110.0,1,119,86
111.0,1,116,89
112.0,1,113,92
113.0,1,109,96
114.0,1,103,102
115.0,1,101,104
116.0,1,99,106
117.0,1,96,109
118.0,1,91,114
119.0,1,90,115
120.0,1,88,117
121.0,1,88,117
122.0,1,85,120
123.0,1,82,123
124.0,1,80,125
125.0,1,80,125
126.0,1,80,125
127.0,1,79,126
128.0,1,78,127
129.0,1,76,129
130.0,1,75,130
131.0,1,73,132
132.0,1,71,134
133.0,1,66,139
134.0,1,65,140
135.0,1,61,144
136.0,1,61,144
137.0,1,60,145
138.0,1,57,148
139.0,1,56,149
140.0,1,54,151
141.0,1,52,153
142.0,1,51,154
143.0,1,48,157
144.0,1,48,157
145.0,1,47,158
146.0,1,43,162
147.0,1,39,166
148.0,1,38,167
149.0,1,37,168
150.0,1,37,168
151.0,1,34,171
152.0,1,34,171
153.0,1,33,172
154.0,1,33,172
155.0,1,32,173
156.0,1,31,174
157.0,1,31,174
158.0,1,30,175
159.0,1,30,175
160.0,1,29,176
161.0,1,28,177
162.0,1,28,177
163.0,1,28,177
164.0,1,27,178
165.0,1,24,181
166.0,1,24,181
167.0,1,24,181
168.0,1,22,183
169.0,1,22,183
170.0,1,21,184
171.0,1,21,184
172.0,1,21,184
173.0,1,20,185
174.0,1,18,187
175.0,1,17,188
176.0,1,17,188
177.0,1,17,188
178.0,1,15,190
179.0,1,14,191
180.0,1,14,191
181.0,1,13,192
182.0,1,12,193
183.0,1,11,194
184.0,1,11,194
185.0,1,10,195
186.0,1,9,196
187.0,1,9,196
188.0,1,9,196
189.0,1,9,196
190.0,1,8,197
191.0,1,8,197
192.0,1,8,197
193.0,1,7,198
194.0,1,7,198
195.0,1,7,198
196.0,1,7,198
197.0,1,7,198
198.0,1,7,198
199.0,1,7,198
200.0,1,7,198
201.0,1,7,198
202.0,1,7,198
203.0,1,7,198
204.0,1,7,198
205.0,1,7,198
206.0,1,7,198
207.0,1,6,199
208.0,1,6,199
209.0,1,6,199
210.0,1,6,199
211.0,1,4,201
212.0,1,4,201
213.0,1,4,201
214.0,1,4,201
215.0,1,4,201
216.0,1,4,201
217.0,1,4,201
218.0,1,4,201
219.0,1,4,201
220.0,1,4,201
221.0,1,4,201
222.0,1,4,201
223.0,1,4,201
224.0,1,4,201
225.0,1,4,201
226.0,1,4,201
227.0,1,4,201
228.0,1,4,201
229.0,1,4,201
230.0,1,4,201
231.0,1,3,202
232.0,1,2,203
233.0,1,2,203
234.0,1,2,203
235.0,1,2,203
236.0,1,2,203
237.0,1,2,203
238.0,1,2,203
239.0,1,2,203
240.0,1,2,203
241.0,1,2,203
242.0,1,2,203
243.0,1,2,203
244.0,1,2,203
245.0,1,2,203
246.0,1,2,203
247.0,1,2,203
248.0,1,2,203
249.0,1,2,203
250.0,1,2,203
251.0,1,1,204
252.0,1,0,205
253.0,1,0,205
254.0,1,0,205
255.0,1,0,205
256.0,1,0,205
257.0,1,0,205
258.0,1,0,205
259.0,1,0,205
260.0,1,0,205
261.0,1,0,205
262.0,1,0,205
263.0,1,0,205
264.0,1,0,205
265.0,1,0,205
266.0,1,0,205
267.0,1,0,205
268.0,1,0,205
269.0,1,0,205
270.0,1,0,205
271.0,1,0,205
272.0,1,0,205
273.0,1,0,205
274.0,1,0,205
275.0,1,0,205
276.0,1,0,205
277.0,1,0,205
278.0,1,0,205
279.0,1,0,205
280.0,1,0,205
281.0,1,0,205
282.0,1,0,205
283.0,1,0,205
284.0,1,0,205
285.0,1,0,205
286.0,1,0,205
287.0,1,0,205
288.0,1,0,205
289.0,1,0,205
290.0,1,0,205
291.0,1,0,205
292.0,1,0,205
293.0,1,0,205
294.0,1,0,205
295.0,1,0,205
296.0,1,0,205
297.0,1,0,205
298.0,1,0,205
299.0,1,0,205
300.0,1,0,205
301.0,1,0,205
302.0,1,0,205
303.0,1,0,205
304.0,1,0,205
305.0,1,0,205
306.0,1,0,205
307.0,1,0,205
308.0,1,0,205
309.0,1,0,205
310.0,1,0,205
311.0,1,0,205
312.0,1,0,205
313.0,1,0,205
314.0,1,0,205
315.0,1,0,205
316.0,1,0,205
317.0,1,0,205
318.0,1,0,205
319.0,1,0,205
320.0,1,0,205
321.0,1,0,205
322.0,1,0,205
323.0,1,0,205
324.0,1,0,205
325.0,1,0,205
326.0,1,0,205
327.0,1,0,205
328.0,1,0,205
329.0,1,0,205
330.0,1,0,205
331.0,1,0,205
332.0,1,0,205
333.0,1,0,205
334.0,1,0,205
335.0,1,0,205
336.0,1,0,205
337.0,1,0,205
338.0,1,0,205
339.0,1,0,205
340.0,1,0,205
341.0,1,0,205
342.0,1,0,205
343.0,1,0,205
344.0,1,0,205
345.0,1,0,205
346.0,1,0,205
347.0,1,0,205
348.0,1,0,205
349.0,1,0,205
350.0,1,0,205
351.0,1,0,205
352.0,1,0,205
353.0,1,0,205
354.0,1,0,205
355.0,1,0,205
356.0,1,0,205
357.0,1,0,205
358.0,1,0,205
359.0,1,0,205
360.0,1,0,205
361.0,1,0,205
362.0,1,0,205
363.0,1,0,205
364.0,1,0,205
365.0,1,0,205
366.0,1,0,205
367.0,1,0,205
368.0,1,0,205
369.0,1,0,205
370.0,1,0,205
371.0,1,0,205
372.0,1,0,205
373.0,1,0,205
374.0,1,0,205
375.0,1,0,205
376.0,1,0,205
377.0,1,0,205
378.0,1,0,205
379.0,1,0,205
380.0,1,0,205
381.0,1,0,205
382.0,1,0,205
383.0,1,0,205
384.0,1,0,205
385.0,1,0,205
