"tick","run","Human Count","Zombie Count"
1.0,1,99,6
2.0,1,99,6
3.0,1,99,6
4.0,1,99,6
5.0,1,99,6
6.0,1,98,7
7.0,1,98,7
8.0,1,98,7
9.0,1,98,7
10.0,1,98,7
11.0,1,98,7
12.0,1,98,7
13.0,1,98,7
14.0,1,98,7
15.0,1,98,7
16.0,1,98,7
17.0,1,98,7
18.0,1,98,7
19.0,1,98,7
20.0,1,97,8
21.0,1,97,8
22.0,1,97,8
23.0,1,97,8
24.0,1,97,8
25.0,1,97,8
26.0,1,97,8
27.0,1,97,8
28.0,1,97,8
29.0,1,97,8
30.0,1,97,8
31.0,1,97,8
32.0,1,97,8
33.0,1,97,8
34.0,1,97,8
35.0,1,97,8
36.0,1,96,9
37.0,1,96,9
38.0,1,96,9
39.0,1,96,9
40.0,1,96,9
41.0,1,96,9
42.0,1,96,9
43.0,1,96,9
44.0,1,96,9
45.0,1,96,9
46.0,1,96,9
47.0,1,95,10
48.0,1,95,10
49.0,1,95,10
50.0,1,95,10
51.0,1,95,10
52.0,1,95,10
53.0,1,95,10
54.0,1,95,10
55.0,1,95,10
56.0,1,95,10
57.0,1,95,10
58.0,1,95,10
59.0,1,95,10
60.0,1,95,10
61.0,1,95,10
62.0,1,95,10
63.0,1,95,10
64.0,1,95,10
65.0,1,95,10
66.0,1,95,10
67.0,1,95,10
68.0,1,95,10
69.0,1,94,11
70.0,1,93,12
71.0,1,93,12
72.0,1,91,14
73.0,1,91,14
74.0,1,91,14
75.0,1,91,14
76.0,1,91,14
77.0,1,91,14
78.0,1,91,14
79.0,1,91,14
80.0,1,91,14
81.0,1,91,14
82.0,1,91,14
83.0,1,91,14
84.0,1,91,14
85.0,1,91,14
86.0,1,90,15
87.0,1,90,15
88.0,1,90,15
89.0,1,90,15
90.0,1,90,15
91.0,1,90,15
92.0,1,89,16
93.0,1,88,17
94.0,1,88,17
95.0,1,88,17
96.0,1,88,17
97.0,1,88,17
98.0,1,88,17
99.0,1,88,17
100.0,1,88,17
101.0,1,88,17
102.0,1,88,17
103.0,1,88,17
104.0,1,88,17
105.0,1,87,18
106.0,1,87,18
107.0,1,87,18
108.0,1,87,18
109.0,1,87,18
110.0,1,87,18
111.0,1,87,18
112.0,1,86,19
113.0,1,86,19
114.0,1,85,20
115.0,1,85,20
116.0,1,84,21
117.0,1,83,22
118.0,1,82,23
119.0,1,82,23
120.0,1,81,24
121.0,1,81,24
122.0,1,81,24
123.0,1,81,24
124.0,1,81,24
125.0,1,81,24
126.0,1,80,25
127.0,1,78,27
128.0,1,78,27
129.0,1,78,27
130.0,1,78,27
131.0,1,77,28
132.0,1,77,28
133.0,1,77,28
134.0,1,77,28
135.0,1,77,28
136.0,1,76,29
137.0,1,76,29
138.0,1,76,29
139.0,1,76,29
140.0,1,75,30
141.0,1,74,31
142.0,1,73,32
143.0,1,72,33
144.0,1,72,33
145.0,1,72,33
146.0,1,72,33
147.0,1,72,33
148.0,1,72,33
149.0,1,71,34
150.0,1,71,34
151.0,1,71,34
152.0,1,71,34
153.0,1,71,34
154.0,1,71,34
155.0,1,70,35
156.0,1,69,36
157.0,1,68,37
158.0,1,68,37
159.0,1,65,40
160.0,1,65,40
161.0,1,65,40
162.0,1,65,40
163.0,1,62,43
164.0,1,62,43
165.0,1,62,43
166.0,1,62,43
167.0,1,62,43
168.0,1,62,43
169.0,1,62,43
170.0,1,60,45
171.0,1,60,45
172.0,1,60,45
173.0,1,60,45
174.0,1,60,45
175.0,1,59,46
176.0,1,57,48
177.0,1,55,50
178.0,1,55,50
