"tick","run","Human Count","Zombie Count"
1.0,1,197,8
2.0,1,197,8
3.0,1,196,9
4.0,1,196,9
5.0,1,195,10
6.0,1,195,10
7.0,1,195,10
8.0,1,195,10
9.0,1,195,10
10.0,1,195,10
11.0,1,195,10
12.0,1,195,10
13.0,1,195,10
14.0,1,195,10
15.0,1,195,10
16.0,1,195,10
17.0,1,195,10
18.0,1,195,10
19.0,1,195,10
20.0,1,195,10
21.0,1,195,10
22.0,1,195,10
23.0,1,192,13
24.0,1,191,14
25.0,1,191,14
26.0,1,190,15
27.0,1,190,15
28.0,1,189,16
29.0,1,189,16
30.0,1,189,16
31.0,1,189,16
32.0,1,187,18
33.0,1,187,18
34.0,1,187,18
35.0,1,187,18
36.0,1,187,18
37.0,1,186,19
38.0,1,185,20
39.0,1,185,20
40.0,1,184,21
41.0,1,183,22
42.0,1,182,23
43.0,1,182,23
44.0,1,181,24
45.0,1,180,25
46.0,1,180,25
47.0,1,179,26
48.0,1,178,27
49.0,1,178,27
50.0,1,178,27
51.0,1,178,27
52.0,1,175,30
53.0,1,173,32
54.0,1,171,34
55.0,1,171,34
56.0,1,169,36
57.0,1,169,36
58.0,1,169,36
59.0,1,167,38
60.0,1,167,38
61.0,1,167,38
62.0,1,167,38
63.0,1,164,41
64.0,1,164,41
65.0,1,164,41
66.0,1,161,44
67.0,1,158,47
68.0,1,157,48
69.0,1,156,49
70.0,1,155,50
71.0,1,154,51
72.0,1,153,52
73.0,1,152,53
74.0,1,149,56
75.0,1,148,57
76.0,1,147,58
77.0,1,146,59
78.0,1,146,59
79.0,1,145,60
80.0,1,145,60
81.0,1,144,61
82.0,1,144,61
83.0,1,141,64
84.0,1,139,66
85.0,1,139,66
86.0,1,139,66
87.0,1,137,68
88.0,1,132,73
89.0,1,130,75
90.0,1,128,77
91.0,1,126,79
92.0,1,126,79
93.0,1,123,82
94.0,1,121,84
95.0,1,118,87
96.0,1,117,88
97.0,1,116,89
98.0,1,116,89
99.0,1,115,90
100.0,1,114,91
101.0,1,111,94
102.0,1,107,98
103.0,1,102,103
104.0,1,101,104
105.0,1,97,108
106.0,1,94,111
107.0,1,94,111
108.0,1,90,115
109.0,1,85,120
110.0,1,81,124
111.0,1,80,125
112.0,1,78,127
113.0,1,76,129
114.0,1,75,130
115.0,1,74,131
116.0,1,71,134
117.0,1,70,135
118.0,1,68,137
119.0,1,67,138
120.0,1,65,140
121.0,1,63,142
122.0,1,62,143
123.0,1,60,145
124.0,1,59,146
125.0,1,59,146
126.0,1,57,148
127.0,1,56,149
128.0,1,54,151
129.0,1,51,154
130.0,1,50,155
131.0,1,50,155
132.0,1,49,156
133.0,1,48,157
134.0,1,48,157
135.0,1,48,157
136.0,1,48,157
137.0,1,46,159
138.0,1,45,160
139.0,1,44,161
140.0,1,43,162
141.0,1,42,163
142.0,1,39,166
143.0,1,37,168
144.0,1,35,170
145.0,1,31,174
146.0,1,28,177
147.0,1,28,177
148.0,1,26,179
149.0,1,26,179
150.0,1,26,179
151.0,1,25,180
152.0,1,25,180
153.0,1,25,180
154.0,1,25,180
155.0,1,25,180
156.0,1,24,181
157.0,1,24,181
158.0,1,24,181
159.0,1,22,183
160.0,1,22,183
161.0,1,22,183
162.0,1,22,183
163.0,1,22,183
164.0,1,21,184
165.0,1,20,185
166.0,1,20,185
167.0,1,20,185
168.0,1,19,186
169.0,1,17,188
170.0,1,16,189
171.0,1,15,190
172.0,1,14,191
173.0,1,14,191
174.0,1,14,191
175.0,1,14,191
176.0,1,14,191
177.0,1,13,192
178.0,1,13,192
179.0,1,12,193
180.0,1,12,193
181.0,1,11,194
182.0,1,11,194
183.0,1,11,194
184.0,1,11,194
185.0,1,10,195
186.0,1,10,195
187.0,1,10,195
188.0,1,10,195
189.0,1,9,196
190.0,1,9,196
191.0,1,9,196
192.0,1,9,196
193.0,1,8,197
194.0,1,8,197
195.0,1,8,197
196.0,1,7,198
197.0,1,6,199
198.0,1,6,199
199.0,1,6,199
200.0,1,6,199
201.0,1,5,200
202.0,1,4,201
203.0,1,3,202
204.0,1,3,202
205.0,1,3,202
206.0,1,3,202
207.0,1,3,202
208.0,1,3,202
209.0,1,3,202
210.0,1,3,202
211.0,1,3,202
212.0,1,3,202
213.0,1,3,202
214.0,1,3,202
215.0,1,3,202
216.0,1,2,203
217.0,1,2,203
218.0,1,2,203
219.0,1,2,203
220.0,1,2,203
221.0,1,2,203
222.0,1,2,203
223.0,1,2,203
224.0,1,2,203
225.0,1,2,203
226.0,1,2,203
227.0,1,2,203
228.0,1,2,203
229.0,1,2,203
230.0,1,2,203
231.0,1,2,203
232.0,1,2,203
233.0,1,2,203
234.0,1,2,203
235.0,1,2,203
236.0,1,1,204
237.0,1,1,204
238.0,1,1,204
239.0,1,1,204
240.0,1,1,204
241.0,1,1,204
242.0,1,0,205
243.0,1,0,205
244.0,1,0,205
245.0,1,0,205
246.0,1,0,205
247.0,1,0,205
248.0,1,0,205
249.0,1,0,205
250.0,1,0,205
251.0,1,0,205
252.0,1,0,205
253.0,1,0,205
254.0,1,0,205
255.0,1,0,205
256.0,1,0,205
257.0,1,0,205
258.0,1,0,205
259.0,1,0,205
260.0,1,0,205
261.0,1,0,205
262.0,1,0,205
263.0,1,0,205
264.0,1,0,205
265.0,1,0,205
266.0,1,0,205
267.0,1,0,205
268.0,1,0,205
269.0,1,0,205
270.0,1,0,205
271.0,1,0,205
272.0,1,0,205
273.0,1,0,205
274.0,1,0,205
275.0,1,0,205
276.0,1,0,205
277.0,1,0,205
278.0,1,0,205
279.0,1,0,205
280.0,1,0,205
281.0,1,0,205
282.0,1,0,205
283.0,1,0,205
284.0,1,0,205
285.0,1,0,205
286.0,1,0,205
287.0,1,0,205
288.0,1,0,205
289.0,1,0,205
290.0,1,0,205
291.0,1,0,205
292.0,1,0,205
293.0,1,0,205
294.0,1,0,205
295.0,1,0,205
296.0,1,0,205
297.0,1,0,205
298.0,1,0,205
299.0,1,0,205
300.0,1,0,205
301.0,1,0,205
302.0,1,0,205
303.0,1,0,205
304.0,1,0,205
305.0,1,0,205
306.0,1,0,205
307.0,1,0,205
308.0,1,0,205
309.0,1,0,205
310.0,1,0,205
311.0,1,0,205
312.0,1,0,205
313.0,1,0,205
314.0,1,0,205
315.0,1,0,205
316.0,1,0,205
317.0,1,0,205
318.0,1,0,205
319.0,1,0,205
320.0,1,0,205
321.0,1,0,205
322.0,1,0,205
323.0,1,0,205
324.0,1,0,205
325.0,1,0,205
326.0,1,0,205
327.0,1,0,205
328.0,1,0,205
329.0,1,0,205
330.0,1,0,205
331.0,1,0,205
332.0,1,0,205
333.0,1,0,205
334.0,1,0,205
335.0,1,0,205
336.0,1,0,205
337.0,1,0,205
338.0,1,0,205
339.0,1,0,205
340.0,1,0,205
341.0,1,0,205
342.0,1,0,205
343.0,1,0,205
344.0,1,0,205
345.0,1,0,205
346.0,1,0,205
347.0,1,0,205
348.0,1,0,205
349.0,1,0,205
350.0,1,0,205
351.0,1,0,205
352.0,1,0,205
353.0,1,0,205
354.0,1,0,205
355.0,1,0,205
356.0,1,0,205
357.0,1,0,205
358.0,1,0,205
359.0,1,0,205
360.0,1,0,205
361.0,1,0,205
362.0,1,0,205
363.0,1,0,205
364.0,1,0,205
365.0,1,0,205
366.0,1,0,205
367.0,1,0,205
368.0,1,0,205
369.0,1,0,205
370.0,1,0,205
371.0,1,0,205
372.0,1,0,205
373.0,1,0,205
374.0,1,0,205
375.0,1,0,205
376.0,1,0,205
377.0,1,0,205
378.0,1,0,205
379.0,1,0,205
380.0,1,0,205
381.0,1,0,205
382.0,1,0,205
383.0,1,0,205
384.0,1,0,205
385.0,1,0,205
386.0,1,0,205
387.0,1,0,205
388.0,1,0,205
389.0,1,0,205
390.0,1,0,205
391.0,1,0,205
392.0,1,0,205
393.0,1,0,205
394.0,1,0,205
395.0,1,0,205
396.0,1,0,205
397.0,1,0,205
398.0,1,0,205
399.0,1,0,205
400.0,1,0,205
401.0,1,0,205
402.0,1,0,205
403.0,1,0,205
404.0,1,0,205
405.0,1,0,205
406.0,1,0,205
407.0,1,0,205
408.0,1,0,205
409.0,1,0,205
410.0,1,0,205
411.0,1,0,205
412.0,1,0,205
413.0,1,0,205
414.0,1,0,205
415.0,1,0,205
416.0,1,0,205
417.0,1,0,205
418.0,1,0,205
419.0,1,0,205
420.0,1,0,205
421.0,1,0,205
422.0,1,0,205
423.0,1,0,205
424.0,1,0,205
425.0,1,0,205
426.0,1,0,205
427.0,1,0,205
428.0,1,0,205
429.0,1,0,205
430.0,1,0,205
431.0,1,0,205
432.0,1,0,205
433.0,1,0,205
434.0,1,0,205
435.0,1,0,205
436.0,1,0,205
437.0,1,0,205
438.0,1,0,205
439.0,1,0,205
440.0,1,0,205
441.0,1,0,205
442.0,1,0,205
443.0,1,0,205
444.0,1,0,205
445.0,1,0,205
446.0,1,0,205
447.0,1,0,205
448.0,1,0,205
449.0,1,0,205
450.0,1,0,205
451.0,1,0,205
452.0,1,0,205
453.0,1,0,205
454.0,1,0,205
455.0,1,0,205
456.0,1,0,205
457.0,1,0,205
458.0,1,0,205
459.0,1,0,205
460.0,1,0,205
461.0,1,0,205
462.0,1,0,205
463.0,1,0,205
464.0,1,0,205
465.0,1,0,205
466.0,1,0,205
467.0,1,0,205
468.0,1,0,205
469.0,1,0,205
470.0,1,0,205
471.0,1,0,205
472.0,1,0,205
473.0,1,0,205
474.0,1,0,205
475.0,1,0,205
476.0,1,0,205
477.0,1,0,205
478.0,1,0,205
479.0,1,0,205
480.0,1,0,205
481.0,1,0,205
482.0,1,0,205
483.0,1,0,205
484.0,1,0,205
485.0,1,0,205
486.0,1,0,205
487.0,1,0,205
488.0,1,0,205
489.0,1,0,205
490.0,1,0,205
491.0,1,0,205
492.0,1,0,205
493.0,1,0,205
494.0,1,0,205
495.0,1,0,205
496.0,1,0,205
497.0,1,0,205
498.0,1,0,205
499.0,1,0,205
500.0,1,0,205
501.0,1,0,205
502.0,1,0,205
503.0,1,0,205
504.0,1,0,205
505.0,1,0,205
506.0,1,0,205
507.0,1,0,205
508.0,1,0,205
509.0,1,0,205
510.0,1,0,205
511.0,1,0,205
512.0,1,0,205
513.0,1,0,205
514.0,1,0,205
515.0,1,0,205
516.0,1,0,205
517.0,1,0,205
518.0,1,0,205
519.0,1,0,205
520.0,1,0,205
521.0,1,0,205
522.0,1,0,205
523.0,1,0,205
524.0,1,0,205
525.0,1,0,205
526.0,1,0,205
527.0,1,0,205
528.0,1,0,205
529.0,1,0,205
530.0,1,0,205
531.0,1,0,205
532.0,1,0,205
533.0,1,0,205
534.0,1,0,205
535.0,1,0,205
536.0,1,0,205
537.0,1,0,205
538.0,1,0,205
539.0,1,0,205
540.0,1,0,205
541.0,1,0,205
542.0,1,0,205
543.0,1,0,205
544.0,1,0,205
545.0,1,0,205
546.0,1,0,205
547.0,1,0,205
548.0,1,0,205
549.0,1,0,205
550.0,1,0,205
551.0,1,0,205
552.0,1,0,205
553.0,1,0,205
554.0,1,0,205
555.0,1,0,205
556.0,1,0,205
557.0,1,0,205
558.0,1,0,205
559.0,1,0,205
560.0,1,0,205
561.0,1,0,205
562.0,1,0,205
563.0,1,0,205
564.0,1,0,205
565.0,1,0,205
566.0,1,0,205
567.0,1,0,205
568.0,1,0,205
569.0,1,0,205
570.0,1,0,205
571.0,1,0,205
572.0,1,0,205
573.0,1,0,205
574.0,1,0,205
575.0,1,0,205
576.0,1,0,205
577.0,1,0,205
578.0,1,0,205
579.0,1,0,205
580.0,1,0,205
