"tick","run","Human Count","Zombie Count"
1.0,1,199,6
2.0,1,199,6
3.0,1,199,6
4.0,1,199,6
5.0,1,199,6
6.0,1,199,6
7.0,1,199,6
8.0,1,198,7
9.0,1,198,7
10.0,1,198,7
11.0,1,198,7
12.0,1,198,7
13.0,1,198,7
14.0,1,198,7
15.0,1,198,7
16.0,1,197,8
17.0,1,197,8
18.0,1,197,8
19.0,1,197,8
20.0,1,197,8
21.0,1,197,8
22.0,1,197,8
23.0,1,196,9
24.0,1,196,9
25.0,1,195,10
26.0,1,194,11
27.0,1,194,11
28.0,1,193,12
29.0,1,193,12
30.0,1,193,12
31.0,1,193,12
32.0,1,193,12
33.0,1,193,12
34.0,1,192,13
35.0,1,192,13
36.0,1,192,13
37.0,1,191,14
38.0,1,190,15
39.0,1,189,16
40.0,1,189,16
41.0,1,189,16
42.0,1,188,17
43.0,1,188,17
44.0,1,187,18
45.0,1,187,18
46.0,1,185,20
47.0,1,185,20
48.0,1,185,20
49.0,1,185,20
50.0,1,184,21
51.0,1,183,22
52.0,1,182,23
53.0,1,181,24
54.0,1,180,25
55.0,1,179,26
56.0,1,179,26
57.0,1,179,26
58.0,1,179,26
59.0,1,178,27
60.0,1,178,27
61.0,1,178,27
62.0,1,176,29
63.0,1,176,29
64.0,1,174,31
65.0,1,173,32
66.0,1,173,32
67.0,1,173,32
68.0,1,173,32
69.0,1,171,34
70.0,1,170,35
71.0,1,170,35
72.0,1,169,36
73.0,1,169,36
74.0,1,165,40
75.0,1,164,41
76.0,1,164,41
77.0,1,164,41
78.0,1,162,43
79.0,1,160,45
80.0,1,159,46
81.0,1,159,46
82.0,1,159,46
83.0,1,159,46
84.0,1,158,47
85.0,1,155,50
86.0,1,155,50
87.0,1,155,50
88.0,1,154,51
89.0,1,151,54
90.0,1,150,55
91.0,1,149,56
92.0,1,148,57
93.0,1,146,59
94.0,1,145,60
95.0,1,145,60
96.0,1,143,62
97.0,1,143,62
98.0,1,141,64
99.0,1,138,67
100.0,1,138,67
101.0,1,136,69
102.0,1,135,70
103.0,1,133,72
104.0,1,130,75
105.0,1,130,75
106.0,1,128,77
107.0,1,127,78
108.0,1,124,81
109.0,1,120,85
110.0,1,119,86
111.0,1,116,89
112.0,1,115,90
113.0,1,112,93
114.0,1,110,95
115.0,1,110,95
116.0,1,109,96
117.0,1,108,97
118.0,1,106,99
119.0,1,102,103
120.0,1,102,103
121.0,1,101,104
122.0,1,99,106
123.0,1,97,108
124.0,1,94,111
125.0,1,93,112
126.0,1,91,114
127.0,1,89,116
128.0,1,88,117
129.0,1,86,119
130.0,1,82,123
131.0,1,80,125
132.0,1,75,130
133.0,1,74,131
134.0,1,72,133
135.0,1,72,133
136.0,1,69,136
137.0,1,69,136
138.0,1,68,137
139.0,1,65,140
140.0,1,65,140
141.0,1,61,144
142.0,1,60,145
143.0,1,60,145
144.0,1,59,146
145.0,1,58,147
