"tick","run","Human Count","Zombie Count"
1.0,1,199,6
2.0,1,199,6
3.0,1,198,7
4.0,1,198,7
5.0,1,198,7
6.0,1,197,8
7.0,1,197,8
8.0,1,197,8
9.0,1,197,8
10.0,1,197,8
11.0,1,197,8
12.0,1,197,8
13.0,1,197,8
14.0,1,197,8
15.0,1,197,8
16.0,1,197,8
17.0,1,197,8
18.0,1,197,8
19.0,1,197,8
20.0,1,197,8
21.0,1,196,9
22.0,1,196,9
23.0,1,196,9
24.0,1,196,9
25.0,1,196,9
26.0,1,195,10
27.0,1,195,10
28.0,1,195,10
29.0,1,195,10
30.0,1,195,10
31.0,1,195,10
32.0,1,195,10
33.0,1,194,11
34.0,1,194,11
35.0,1,194,11
36.0,1,193,12
37.0,1,193,12
38.0,1,191,14
39.0,1,191,14
40.0,1,190,15
41.0,1,190,15
42.0,1,190,15
43.0,1,189,16
44.0,1,189,16
45.0,1,189,16
46.0,1,189,16
47.0,1,189,16
48.0,1,189,16
49.0,1,189,16
50.0,1,189,16
51.0,1,189,16
52.0,1,189,16
53.0,1,189,16
54.0,1,189,16
55.0,1,189,16
56.0,1,189,16
57.0,1,188,17
58.0,1,187,18
59.0,1,186,19
60.0,1,185,20
61.0,1,185,20
62.0,1,185,20
63.0,1,184,21
64.0,1,183,22
65.0,1,182,23
66.0,1,180,25
67.0,1,180,25
68.0,1,180,25
69.0,1,180,25
70.0,1,180,25
71.0,1,180,25
72.0,1,180,25
73.0,1,180,25
74.0,1,180,25
75.0,1,177,28
76.0,1,177,28
77.0,1,177,28
78.0,1,177,28
79.0,1,176,29
80.0,1,175,30
81.0,1,173,32
82.0,1,171,34
83.0,1,170,35
84.0,1,169,36
85.0,1,168,37
86.0,1,168,37
87.0,1,168,37
88.0,1,167,38
89.0,1,166,39
90.0,1,166,39
91.0,1,162,43
92.0,1,160,45
93.0,1,160,45
94.0,1,158,47
95.0,1,157,48
96.0,1,157,48
97.0,1,155,50
98.0,1,153,52
99.0,1,152,53
100.0,1,151,54
101.0,1,149,56
102.0,1,148,57
103.0,1,146,59
104.0,1,146,59
105.0,1,145,60
106.0,1,142,63
107.0,1,139,66
108.0,1,138,67
109.0,1,138,67
110.0,1,137,68
111.0,1,135,70
112.0,1,132,73
113.0,1,129,76
114.0,1,128,77
115.0,1,127,78
116.0,1,124,81
117.0,1,123,82
118.0,1,123,82
119.0,1,123,82
120.0,1,121,84
121.0,1,120,85
122.0,1,118,87
123.0,1,116,89
124.0,1,115,90
125.0,1,115,90
126.0,1,113,92
127.0,1,112,93
128.0,1,108,97
129.0,1,107,98
130.0,1,106,99
131.0,1,103,102
132.0,1,102,103
133.0,1,100,105
134.0,1,99,106
135.0,1,93,112
136.0,1,91,114
137.0,1,89,116
138.0,1,86,119
139.0,1,82,123
140.0,1,80,125
141.0,1,76,129
142.0,1,75,130
143.0,1,73,132
144.0,1,71,134
145.0,1,67,138
146.0,1,66,139
147.0,1,62,143
148.0,1,59,146
149.0,1,58,147
150.0,1,58,147
151.0,1,55,150
152.0,1,54,151
153.0,1,53,152
154.0,1,51,154
155.0,1,51,154
156.0,1,48,157
157.0,1,47,158
158.0,1,45,160
159.0,1,45,160
160.0,1,42,163
161.0,1,41,164
162.0,1,39,166
163.0,1,34,171
164.0,1,33,172
165.0,1,31,174
166.0,1,30,175
167.0,1,26,179
168.0,1,26,179
169.0,1,25,180
170.0,1,23,182
171.0,1,23,182
172.0,1,21,184
173.0,1,19,186
174.0,1,19,186
175.0,1,19,186
176.0,1,17,188
177.0,1,16,189
178.0,1,15,190
179.0,1,15,190
180.0,1,15,190
181.0,1,14,191
182.0,1,14,191
183.0,1,14,191
184.0,1,13,192
185.0,1,13,192
186.0,1,13,192
187.0,1,13,192
188.0,1,13,192
189.0,1,13,192
190.0,1,13,192
191.0,1,13,192
192.0,1,13,192
193.0,1,13,192
194.0,1,13,192
195.0,1,13,192
196.0,1,13,192
197.0,1,13,192
198.0,1,13,192
199.0,1,13,192
200.0,1,12,193
201.0,1,12,193
202.0,1,12,193
203.0,1,12,193
204.0,1,12,193
205.0,1,11,194
206.0,1,11,194
207.0,1,11,194
208.0,1,11,194
209.0,1,11,194
210.0,1,10,195
211.0,1,9,196
212.0,1,9,196
213.0,1,8,197
214.0,1,8,197
215.0,1,8,197
216.0,1,7,198
217.0,1,7,198
218.0,1,7,198
219.0,1,7,198
220.0,1,7,198
221.0,1,6,199
222.0,1,6,199
223.0,1,6,199
224.0,1,6,199
225.0,1,6,199
226.0,1,5,200
227.0,1,4,201
228.0,1,4,201
229.0,1,4,201
230.0,1,2,203
231.0,1,2,203
232.0,1,2,203
233.0,1,2,203
234.0,1,2,203
235.0,1,1,204
236.0,1,1,204
237.0,1,1,204
238.0,1,1,204
239.0,1,1,204
240.0,1,1,204
241.0,1,1,204
242.0,1,1,204
243.0,1,1,204
244.0,1,1,204
245.0,1,1,204
246.0,1,0,205
247.0,1,0,205
248.0,1,0,205
249.0,1,0,205
250.0,1,0,205
251.0,1,0,205
252.0,1,0,205
253.0,1,0,205
254.0,1,0,205
255.0,1,0,205
256.0,1,0,205
257.0,1,0,205
258.0,1,0,205
259.0,1,0,205
260.0,1,0,205
261.0,1,0,205
262.0,1,0,205
263.0,1,0,205
264.0,1,0,205
265.0,1,0,205
266.0,1,0,205
267.0,1,0,205
268.0,1,0,205
269.0,1,0,205
270.0,1,0,205
271.0,1,0,205
272.0,1,0,205
273.0,1,0,205
274.0,1,0,205
275.0,1,0,205
276.0,1,0,205
277.0,1,0,205
278.0,1,0,205
279.0,1,0,205
280.0,1,0,205
281.0,1,0,205
282.0,1,0,205
283.0,1,0,205
284.0,1,0,205
285.0,1,0,205
286.0,1,0,205
287.0,1,0,205
288.0,1,0,205
289.0,1,0,205
290.0,1,0,205
291.0,1,0,205
292.0,1,0,205
293.0,1,0,205
294.0,1,0,205
295.0,1,0,205
296.0,1,0,205
297.0,1,0,205
298.0,1,0,205
299.0,1,0,205
300.0,1,0,205
301.0,1,0,205
302.0,1,0,205
303.0,1,0,205
304.0,1,0,205
305.0,1,0,205
306.0,1,0,205
307.0,1,0,205
308.0,1,0,205
309.0,1,0,205
310.0,1,0,205
311.0,1,0,205
312.0,1,0,205
313.0,1,0,205
314.0,1,0,205
315.0,1,0,205
316.0,1,0,205
317.0,1,0,205
318.0,1,0,205
319.0,1,0,205
320.0,1,0,205
321.0,1,0,205
322.0,1,0,205
323.0,1,0,205
324.0,1,0,205
325.0,1,0,205
326.0,1,0,205
327.0,1,0,205
328.0,1,0,205
329.0,1,0,205
330.0,1,0,205
331.0,1,0,205
332.0,1,0,205
333.0,1,0,205
334.0,1,0,205
335.0,1,0,205
336.0,1,0,205
337.0,1,0,205
338.0,1,0,205
339.0,1,0,205
340.0,1,0,205
341.0,1,0,205
342.0,1,0,205
343.0,1,0,205
344.0,1,0,205
345.0,1,0,205
346.0,1,0,205
347.0,1,0,205
348.0,1,0,205
349.0,1,0,205
350.0,1,0,205
351.0,1,0,205
352.0,1,0,205
353.0,1,0,205
354.0,1,0,205
355.0,1,0,205
356.0,1,0,205
357.0,1,0,205
358.0,1,0,205
359.0,1,0,205
360.0,1,0,205
361.0,1,0,205
362.0,1,0,205
363.0,1,0,205
364.0,1,0,205
365.0,1,0,205
366.0,1,0,205
367.0,1,0,205
368.0,1,0,205
369.0,1,0,205
370.0,1,0,205
371.0,1,0,205
372.0,1,0,205
373.0,1,0,205
374.0,1,0,205
375.0,1,0,205
376.0,1,0,205
377.0,1,0,205
378.0,1,0,205
379.0,1,0,205
380.0,1,0,205
381.0,1,0,205
382.0,1,0,205
383.0,1,0,205
384.0,1,0,205
385.0,1,0,205
